name,description,implementation_status,effect_level,version,rank
GammaDistribution,Gamma probability distribution,✅,pure,6.0,981
FrontEndExecute,Requires external services or GUI infrastructure,🚫,io,3.0,982
ScientificForm,Displays number in scientific notation,✅,pure,1.0,983
LocatorPane,Draggable locator over a graphic; renders as an interactive 2D pane,✅,unevaluated,6.0,984
DirectedEdges,Option saying whether graph edges are drawn as arrows,✅,none,6.0,986
ViewVertical,,🚫,,2.0,986
StyleDefinitions,,🚫,,3.0,987
RoundingRadius,,🚫,,7.0,988
Ball,Geometric primitive representing a ball (filled sphere); drawn in Graphics and Graphics3D; a list of centres draws one ball per centre,✅,none,10.0,989
FormBox,,🚫,,3.0,991
RegionDifference,Region left after removing one region from another,✅,pure,10.0,991
UpSetDelayed,Assign delayed upvalues to symbols appearing in the LHS,✅,side_effect,1.0,992
Hypergeometric1F1,Kummer confluent hypergeometric function 1F1(a; b; z),✅,pure,1.0,993
SuperscriptBox,Low-level box construct for superscript display,✅,pure,3.0,994
Erfi,Returns the imaginary error function value,✅,pure,1.0,995
NeumannValue,,🚫,,10.0,996
Activate,Replaces Inactive[f] wrappers with the active function f and evaluates,✅,pure,10.0,997
Lookup,Looks up a key in an association; supports the operator form Lookup[key][assoc],✅,pure,10.0,998
ComplexListPlot,Plots complex numbers as points in the complex plane,✅,pure,12.0,999
SplitBy,Splits list at boundaries where a function changes value,✅,pure,7.0,1000
SphericalBesselJ,Spherical Bessel function of the first kind,✅,pure,6.0,1001
BoxWhiskerChart,Creates a box-and-whisker chart from data,✅,pure,8.0,1002
GridGraph,Constructs an m by n grid graph,✅,pure,8.0,1005
ToUpperCase,Converts a string to uppercase,✅,pure,2.0,1005
ViewAngle,Option specifying the camera field of view for 3D graphics,✅,pure,6.0,1005
ChartLegends,Specifies legend labels for chart elements,✅,pure,7.0,1006
SystemOpen,Requires external services or GUI infrastructure,🚫,io,7.0,1007
TemporalData,Represents temporal data and builds a time series from values and a date specification,✅,pure,9.0,1008
Parallelization,,🚫,,8.0,1009
Dispatch,Optimized rule dispatch for pattern matching,✅,none,2.0,1010
TranslationTransform,Creates an affine translation transformation,✅,none,6.0,1011
TagBox,Low-level box construct that associates a tag with box content,✅,pure,3.0,1012
Divisible,Tests if one number is divisible by another,✅,pure,6.0,1013
PlusMinus,Symbolic plus-or-minus operator with Unicode display,✅,none,3.0,1014
Callout,Annotates a plot element with a label,✅,pure,11.0,1015
MeshPrimitives,Cells of a mesh region of a given dimension with their coordinates,✅,pure,10.0,1016
CircleTimes,Symbolic tensor product operator with Unicode display,✅,pure,3.0,1017
VectorPlot3D,Creates a 3D vector field plot,✅,pure,7.0,1018
RandomPoint,,🚫,,10.2,1020
TemplateBox,,🚫,,7.0,1020
ExpressionCell,Requires external services or GUI infrastructure,🚫,io,6.0,1021
StartOfString,Represents the start of a string in string patterns,✅,1,5.1,1022
SameTest,,🚫,,2.0,1024
Below,Symbol for below alignment,✅,pure,1.0,1025
PlanetaryMoonData,,🚫,,10.0,1026
ToRules,Convert logical equation combinations to lists of rules,✅,pure,1.0,1027
Context,Returns the context a symbol belongs to; Context[] gives the current one,✅,pure,1.0,1029
Placeholder,,🚫,,7.0,1029
StudentTDistribution,Represents a Student t-distribution with nu degrees of freedom,✅,1,6.0,1030
AppearanceElements,Option specifying which interface elements appear,✅,pure,6.0,1031
TimesBy,Multiplies a variable by a value,✅,stateful,1.0,1032
Merge,Merges associations using a combining function,✅,pure,10.0,1033
Colorize,Colorize a label matrix or image,✅,,8.0,1035
NumberPadding,Option for the NumberForm family giving the pad strings as {left; right} or a single string for the integer field only,✅,pure,2.0,1035
ImageMultiply,Multiplies pixel values of two images pointwise,✅,pure,7.0,1038
TimeSeries,Represents a time series of values paired with time stamps,✅,pure,10.0,1038
VectorPoints,,🚫,,7.0,1039
NextPrime,Returns the smallest prime greater than n (Listable),✅,pure,6.0,1040
PreDecrement,Decrements a variable by 1 and returns the new value,✅,stateful,1.0,1041
MultinormalDistribution,Multivariate normal distribution (PDF for diagonal covariance plus numeric bivariate CDF Mean Covariance Variance),✅,pure,8.0,1042
UnitBox,Unit box function (1 for |x| <= 1/2),✅,pure,7.0,1043
Today,Returns a DateObject representing the current date,✅,contextual,10.0,1044
ClippingStyle,,🚫,,6.0,1046
Del,Symbolic nabla operator with Unicode display,✅,none,3.0,1046
Resolve,Quantifier elimination for univariate and additively separable multivariate polynomial formulas,✅,pure,5.0,1047
MorphologicalComponents,Label connected foreground components of an array,✅,pure,7.0,1048
Wedge,Symbolic wedge product operator with Unicode display,✅,pure,3.0,1049
SumConvergence,Tests convergence of infinite sums (rational geometric alternating and factorial terms),✅,pure,7.0,1050
TextAlignment,,🚫,,3.0,1051
InterpolatingPolynomial,Polynomial that interpolates given data points,✅,pure,2.0,1052
LeafCount,Returns the number of leaves in an expression,✅,pure,1.0,1054
PrependTo,Prepends an element to a list stored in a variable; a target without a value reports ::rvalue,✅,stateful,1.0,1054
AdjacencyMatrix,Builds adjacency matrix from a graph,✅,none,8.0,1055
BinormalDistribution,Bivariate normal distribution; supports PDF Mean Variance StandardDeviation and Covariance,✅,pure,3.0,1056
EdgeLabels,,🚫,,8.0,1057
BarOrigin,,🚫,,7.0,1058
Label,Label for Goto targets,✅,pure,1.0,1059
HammingDistance,Returns the number of positions where two equal-length strings differ,✅,pure,6.0,1060
BetaDistribution,Represents a beta probability distribution with parameters a and b,✅,1,6.0,1061
CompleteGraph,Generates a complete graph on n vertices or a complete multipartite graph from group sizes,✅,none,8.0,1062
Catenate,Concatenates a list (or association) of lists or associations into one list,✅,pure,10.0,1063
SplineKnots,,🚫,,7.0,1064
StirlingS1,Returns the Stirling number of the first kind,✅,pure,1.0,1065
ClebschGordan,Clebsch-Gordan angular momentum coupling coefficient,✅,pure,2.0,1066
EvaluationMonitor,Option whose expression is evaluated at every point sampled by Plot or NIntegrate,✅,pure,5.0,1067
NumberString,String pattern matching numeric strings,✅,none,5.1,1068
Uncompress,Decompresses a string from Compress,✅,pure,6.0,1069
CreateDocument,,🚫,,6.0,1071
Now,Returns the current date and time,✅,contextual,10.0,1071
Continue,Continues to next loop iteration,✅,pure,1.0,1072
EulerPhi,Returns Euler's totient function,✅,pure,1.0,1073
Distribute,Distribute one operator over another,✅,pure,1.0,1074
AtomQ,Tests if expression is an atom (not a compound expression),✅,pure,1.0,1075
VertexTextureCoordinates,,🚫,,8.0,1076
BarSpacing,,🚫,,7.0,1077
WeierstrassP,Weierstrass elliptic function,✅,pure,1.0,1078
StateSpaceModel,Symbolic state-space control system object consumed by ObservabilityMatrix/ControllabilityMatrix,✅,unevaluated,8.0,1079
LCM,Returns the least common multiple of integers and rationals (and Gaussian integers),✅,pure,1.0,1080
Predict,,🚫,,10.0,1081
RomanNumeral,Converts an integer to a Roman numeral string,✅,pure,10.2,1082
FourierTrigSeries,,🚫,,7.0,1085
LabelingFunction,Option specifying how chart and plot elements are labeled,✅,pure,7.0,1085
MaxMemoryUsed,Peak memory usage in the current session,✅,pure,1.0,1085
TextData,,🚫,,8.0,1086
Classify,,🚫,,10.0,1087
Whitespace,Represents whitespace characters in string patterns,✅,1,5.1,1088
PatternSequence,Represents a sequence of patterns spliced into the enclosing arguments (also as a named or repeated group),✅,pure,6.0,1089
PiecewiseExpand,Expands functions and nested cases to a single Piecewise,✅,pure,5.1,1090
ImageAdd,Adds pixel values of two images pointwise,✅,pure,7.0,1091
OwnValues,Returns the own values of a symbol,✅,pure,2.0,1092
EstimatedDistribution,,🚫,,8.0,1093
SplineWeights,,🚫,,7.0,1094
Histogram3D,,🚫,,7.0,1096
ImageCrop,Trims uniform borders or crops an image to a given size and side,✅,pure,7.0,1097
StringTrim,Removes whitespace from the beginning and end of a string,✅,pure,7.0,1098
SubtractFrom,Subtracts a value from a variable,✅,stateful,1.0,1099
EntityList,Lists all entities of a given type,✅,pure,10.0,1100
FieldSize,,🚫,,6.0,1102
LogNormalDistribution,Represents a log-normal distribution,✅,1,6.0,1102
UpperTriangularize,Zero out elements below a diagonal,✅,pure,7.0,1103
Moment,Raw statistical moment of a list or distribution,✅,pure,8.0,1104
SymbolName,Returns the name of a symbol as a string,✅,pure,3.0,1105
Goto,Jumps to a Label,✅,pure,1.0,1106
AdjacencyGraph,Creates a graph from an adjacency matrix,✅,1,8.0,1107
LerchPhi,Lerch transcendent special function,✅,pure,1.0,1108
StringReverse,Reverses the characters in a string,✅,pure,2.0,1109
ListConvolve,Discrete convolution of two lists with optional overhang cyclic or list padding and generalized operations,✅,pure,4.0,1110
EllipticF,Incomplete elliptic integral of the first kind F(phi m),✅,pure,1.0,1111
LUDecomposition,LU decomposition with partial pivoting,✅,pure,3.0,1112
TargetFunctions,,🚫,,3.0,1113
DivisorSigma,Returns the sum of k-th powers of divisors,✅,pure,1.0,1114
LogGamma,Logarithm of the gamma function,✅,pure,2.0,1116
Surd,Returns the real-valued nth root,✅,pure,9.0,1116
MemoryInUse,Current memory usage of the process,✅,pure,1.0,1117
ParallelEvaluate,,🚫,,7.0,1118
ListPolarPlot,Plots data in polar coordinates,✅,pure,6.0,1119
PositionIndex,Maps each distinct value to the positions or keys where it occurs,✅,pure,10.0,1120
AnimationRate,,🚫,,6.0,1122
HoldAllComplete,Attribute that prevents all evaluation,✅,1,3.0,1122
Blur,Applies Gaussian blur to an image,✅,pure,7.0,1124
CirclePoints,Gives equally spaced points on a circle,✅,pure,10.1,1126
NetChain,,🚫,,11.0,1126
FiniteGroupData,,🚫,,7.0,1127
Factorial2,Returns the double factorial,✅,pure,1.0,1128
ListCorrelate,Discrete cross-correlation of two lists with optional overhang cyclic or list padding and generalized operations,✅,pure,4.0,1129
After,,🚫,,3.0,1130
IntegerLength,Returns the number of digits in an integer,✅,pure,6.0,1132
StirlingS2,Returns the Stirling number of the second kind,✅,pure,1.0,1133
BlockRandom,Evaluates an expression with the random number generator localized so any SeedRandom inside does not affect the outer random sequence,✅,pure,6.0,1134
Correlation,Pearson correlation of two lists; of one data matrix gives the correlation matrix of its columns; of a multivariate distribution gives its normalized covariance matrix,✅,pure,6.0,1135
SwatchLegend,Inert legend description with color swatches consumed by Legended (produced by PeriodicTablePlot property coloring),✅,pure,9.0,1136
TreeForm,Display an expression as a tree structure,✅,pure,1.0,1138
UpdateInterval,,🚫,,6.0,1138
EmpiricalDistribution,Empirical distribution from data (exact weights via DataDistribution),✅,pure,8.0,1139
NotebookSelection,,🚫,,3.0,1141
CellTags,,🚫,,3.0,1142
FractionBox,Low-level box construct for fraction display,✅,pure,3.0,1143
Magnification,,🚫,,3.0,1145
Refresh,Returns its first argument evaluated; the update-interval options only matter in a Dynamic FrontEnd context,✅,pure,6.0,1145
KelvinBer,Kelvin ber function (real part of BesselJ on a rotated argument),✅,pure,6.0,1146
NetTrain,,🚫,,11.0,1147
SinIntegral,Sine integral Si(z),✅,pure,2.0,1148
DiscretizeGraphics,,🚫,,10.0,1149
GroebnerBasis,Reduced lexicographic Groebner basis over the rationals,✅,pure,2.0,1150
LegendMarkerSize,,🚫,,9.0,1151
Subsuperscript,Subsuperscript notation wrapper (stays symbolic),✅,unevaluated,3.0,1152
KelvinBei,Kelvin bei function (imaginary part of BesselJ on a rotated argument),✅,pure,6.0,1153
CubeRoot,Returns the real-valued cube root,✅,pure,9.0,1154
ContinuousAction,Option for continuous action during interactive manipulation,✅,pure,6.0,1155
Overlay,Displays a collection of items overlaid on top of each other,✅,pure,8.0,1156
Permissions,,🚫,,10.0,1157
CirclePlus,Represents the direct sum or XOR operator,✅,pure,3.0,1158
TableAlignments,,🚫,,2.0,1159
PrincipalValue,Represents Cauchy principal value,✅,1,3.0,1160
OrderedQ,Tests if a list is in canonical order,✅,pure,1.0,1162
Put,Write expressions to a file,✅,effectful,1.0,1162
DockedCells,,🚫,,6.0,1164
WindowSize,,🚫,,3.0,1164
ValueQ,Tests if a symbol has a value assigned,✅,pure,1.0,1165
MovingAverage,Computes the moving average of a list,✅,1,6.0,1166
PolynomialQ,Tests whether an expression is a polynomial,✅,pure,1.0,1167
AppellF1,Appell hypergeometric function F1(a b1 b2; c; x y),✅,pure,4.0,1168
Glow,Graphics directive for glow effect,✅,1,6.0,1169
Cone,3D cone graphics primitive,✅,none,7.0,1170
DistanceFunction,Option naming the metric a nearest-neighbour or clustering function measures with,✅,pure,6.0,1171
IgnoreCase,,🚫,,2.0,1172
GaussianFilter,Gaussian filter for images and arrays,✅,pure,7.0,1173
FixedPointList,Returns the list of results from applying a function repeatedly until fixed point,✅,pure,2.0,1174
EdgeShapeFunction,Option giving the function that draws each edge of a graph plot,✅,none,8.0,1175
BSplineFunction,Evaluate B-spline curves and surfaces from control points using de Boor algorithm,✅,pure,7.0,1176
VertexShapeFunction,Option naming the shape each vertex of a graph is drawn as,✅,none,8.0,1177
CosIntegral,Cosine integral Ci(z),✅,pure,2.0,1178
VertexRenderingFunction,Option giving the function that draws each vertex of a graph plot,✅,none,6.0,1179
GeoListPlot,,🚫,,10.0,1180
Volume,Volume (3-dimensional measure) of a solid region,✅,pure,2.0,1180
TimeConstrained,Runs computation with time limit (no-op in Woxi),✅,effectful,1.0,1182
VectorStyle,,🚫,,7.0,1182
Monitor,,🚫,,6.0,1183
ImagePad,Pads an image on each side with a constant fill or edge extension,✅,pure,7.0,1184
ChiSquareDistribution,Represents a chi-square distribution,✅,1,6.0,1186
ListInterpolation,Creates interpolation from uniformly spaced data (2-D coordinates may be given as separate arguments or as one list),✅,pure,3.0,1186
FindShortestPath,Find a shortest weighted path between two vertices of a graph,✅,pure,8.0,1187
SetSystemOptions,,🚫,,6.0,1189
GeoRange,,🚫,,10.0,1190
Orthogonalize,Orthonormalizes a set of vectors via Gram-Schmidt,✅,pure,6.0,1191
AnatomyData,,🚫,,10.3,1192
FresnelS,Returns the Fresnel sine integral,✅,pure,3.0,1193
CometData,,🚫,,10.0,1195
HighlightImage,,🚫,,9.0,1195
Subgraph,Induced subgraph on given vertices (keeps the given vertex order),✅,pure,8.0,1197
FindClusters,Partitions data into clusters,✅,unevaluated,6.0,1198
OpenWrite,Opens a file for writing,✅,effectful,1.0,1199
SmoothHistogram,,🚫,,8.0,1200
Manipulator,Manipulator control element (stays symbolic in script mode),✅,unevaluated,6.0,1201
EndOfString,Represents the end of a string in string patterns,✅,1,5.1,1202
ParallelMap,Applies a function in parallel to each element,✅,1,7.0,1204
ButtonData,,🚫,,3.0,1205
Evaluator,,🚫,,3.0,1206
DateDifference,Difference between two dates,✅,pure,6.0,1208
FresnelC,Returns the Fresnel cosine integral,✅,pure,3.0,1208
PathGraph,Creates a path graph from a list of vertices,✅,1,8.0,1209
DateRange,Generate the list of dates between two dates with a given increment,✅,pure,9.0,1210
ToRadicals,Attempts to express in terms of radicals,✅,pure,3.0,1211
LowerTriangularize,Zero out elements above a diagonal,✅,pure,7.0,1212
BitAnd,Returns the bitwise AND of integers,✅,pure,4.0,1213
ImageCompose,Overlays one image on another,✅,pure,7.0,1214
Order,Returns the canonical ordering of two expressions (products compare from their last factor backwards so a symbolic leading factor acts as a coefficient),✅,pure,1.0,1216
ReplaceList,Returns a list of all results from applying a rule to an expression in every distinct way it matches,✅,pure,3.0,1216
SixJSymbol,Wigner 6-j symbol,✅,pure,2.0,1217
LinearLayer,,🚫,,11.0,1218
CellMargins,,🚫,,3.0,1219
Minors,Matrix minors (determinants of submatrices),✅,pure,1.0,1221
VoronoiMesh,Voronoi tessellation mesh from 2D points,✅,pure,10.0,1221
UpTo,Represents a limit specification,✅,1,10.3,1222
ChartLayout,,🚫,,7.0,1223
BinCounts,Counts data points in equal-width bins,✅,pure,6.0,1225
VertexCount,Returns the number of vertices in a graph (optionally matching a pattern),✅,pure,8.0,1225
LetterCharacter,String pattern for letter characters,✅,1,5.1,1226
FormatType,Option for output format type,✅,pure,1.0,1227
BitXor,Returns the bitwise XOR of integers,✅,pure,4.0,1228
AiryAi,Airy function of the first kind Ai(x),✅,pure,1.0,1230
ParametricNDSolve,,🚫,,9.0,1231
AllTrue,Checks if all elements in a list are true,✅,pure,10.0,1232
Editable,Editable display option wrapper (stays symbolic),✅,unevaluated,3.0,1233
MoebiusMu,Returns the Möbius function value,✅,pure,1.0,1235
FinancialDerivative,,🚫,,8.0,1236
Setter,Setter control element (stays symbolic in script mode),✅,unevaluated,6.0,1237
GraphicsColumn,Arranges graphics in a vertical column,✅,pure,6.0,1239
MakeExpression,Parse a string into a held (unevaluated) expression,✅,pure,3.0,1239
BoundaryDiscretizeRegion,,🚫,,10.0,1240
StringRiffle,Joins a list of strings with a separator,✅,pure,10.1,1241
HurwitzZeta,Hurwitz zeta function Sum 1/(k+a)^s,✅,pure,7.0,1242
Clock,,🚫,,6.0,1244
SeriesData,Represents a power series expansion,✅,pure,1.0,1244
GridBox,Low-level box construct for grid/table display,✅,pure,3.0,1245
Write,Write expressions to an output stream in OutputForm,✅,effectful,1.0,1246
SmoothKernelDistribution,,🚫,,8.0,1247
OceanData,,🚫,,10.0,1248
MaximalBy,Returns elements that maximize a criterion,✅,pure,10.0,1249
InverseCDF,Inverse cumulative distribution function (quantile) of a distribution,✅,pure,6.0,1251
StringTemplate,Creates a template that fills slots from positional or named arguments,✅,pure,10.0,1251
TimeObject,Represents a time of day with a granularity from a time-of-day list,✅,pure,10.0,1252
ParetoDistribution,Pareto distribution with optional location and shape parameters,✅,pure,6.0,1254
Read,Read an object of a specified type from a stream,✅,effectful,1.0,1254
EdgeCount,Returns the number of edges in a graph (optionally matching a pattern),✅,pure,8.0,1256
Transparent,,🚫,,7.0,1256
OutputResponse,,🚫,,8.0,1257
RandomComplex,Gives a pseudorandom complex number in a rectangular region,✅,effectful,6.0,1258
Random,Legacy pseudorandom generator (wraps RandomReal/RandomInteger/RandomComplex),✅,effectful,1.0,1258
Hypergeometric0F1,Confluent hypergeometric limit function,✅,pure,1.0,1259
Longest,Pattern wrapper that tries the longest match first; transparent around anything that is not a sequence,✅,pure,6.0,1261
BetaRegularized,Regularized incomplete beta function I_z(a b),✅,pure,2.0,1263
Gather,Groups identical elements together (optional custom equivalence test),✅,pure,7.0,1264
MapAll,Apply a function to every subexpression,✅,pure,1.0,1265
HurwitzLerchPhi,Hurwitz-Lerch transcendent sum of z^k over (k+a)^s,✅,pure,7.0,1267
WienerProcess,Wiener process with Normal time slices,✅,unevaluated,9.0,1268
FindShortestTour,,🚫,,6.0,1269
Null,Null expression producing no output,✅,pure,1.0,
Indeterminate,Represents a numerical result of unknown magnitude — absorbs arithmetic and compares to nothing,✅,pure,1.0,
Infinity,Positive infinity constant,✅,pure,1.0,
ComplexInfinity,Complex infinity constant,✅,pure,1.0,
DirectedInfinity,Represents a directed infinity whose direction propagates through sums products and powers,✅,pure,1.0,1270
StringCount,Counts occurrences of a pattern in a string (threading over a list of strings; supports the Overlaps and IgnoreCase options),✅,pure,5.1,1271
ImageApply,Applies a function to each pixel of an image,✅,pure,7.0,1272
BernoulliDistribution,Represents a Bernoulli distribution,✅,pure,6.0,1274
PodStates,,🚫,,8.0,1274
HypergeometricU,Confluent hypergeometric function of the second kind,✅,pure,1.0,1275
NetPort,,🚫,,11.0,1278
OpenRead,Opens a file for reading,✅,effectful,1.0,1278
StreamScale,,🚫,,7.0,1278
GammaRegularized,Regularized upper incomplete gamma function Q(a z),✅,pure,2.0,1279
FrontEndTokenExecute,,🚫,,4.0,1280
GeoNearest,Nearest country containing or closest to a geo position,✅,pure,10.0,1281
GenerateConditions,Option for generating conditions in results,✅,1,3.0,1282
SingularValueDecomposition,Computes the singular value decomposition of a matrix,✅,None,5.0,1283
CloudGet,,🚫,,10.0,1284
ImageTake,Takes a rectangular region from an image,✅,pure,7.0,1285
CanonicalName,,🚫,,10.0,1286
VertexDegree,Returns the degree of vertices in a graph,✅,1,8.0,1287
OverTilde,Displays expression with tilde above,✅,1,6.0,1288
ReliefPlot,,🚫,,6.0,1289
TableSpacing,,🚫,,2.0,1290
FindDivisions,Finds nice numbers dividing an interval into about n equal parts,✅,pure,7.0,1291
FileExistsQ,Tests whether a file or directory exists,✅,2,7.0,1293
FrontEndToken,,🚫,,3.0,1293
GeometricMean,Returns the geometric mean of a list or an association's values,✅,pure,6.0,1294
TextWords,Split text into a list of words (surrounding punctuation trimmed; internal hyphens/apostrophes kept); two-arg form returns the first n words,✅,pure,10.1,1295
WindowTitle,,🚫,,3.0,1296
CurrentImage,,🚫,,8.0,1298
Equivalent,Logical equivalence,✅,pure,7.0,1298
Dilation,Morphological dilation by a scalar radius or a structuring-element matrix,✅,pure,7.0,1299
JacobiAmplitude,Amplitude for Jacobi elliptic functions,✅,pure,1.0,1300
RegionBoundary,,🚫,,10.0,1301
FormFunction,,🚫,,10.0,1303
GeneratedCell,,🚫,,3.0,1303
StreamStyle,,🚫,,7.0,1304
MaxValue,Global symbolic maximum value of a function over variables with optional constraints and an optional Reals or Integers domain,✅,pure,7.0,1305
KeyValueMap,Maps a function over key-value pairs; supports the operator form KeyValueMap[f][assoc],✅,pure,10.1,1306
KelvinKei,Kelvin kei function (imaginary part of e^(-Pi I/2) BesselK on a rotated argument),✅,pure,6.0,1307
TabView,Tabbed view control (stays symbolic in script mode),✅,unevaluated,6.0,1308
SinhIntegral,Hyperbolic sine integral Shi(z),✅,pure,3.0,1309
KelvinKer,Kelvin ker function (real part of e^(-Pi I/2) BesselK on a rotated argument),✅,pure,6.0,1310
ComplexPlot3D,Plot the modulus of a complex function as a 3D surface over the complex plane,✅,pure,12.0,1311
ControlActive,Represents an object displayed differently while a control is actively manipulated,✅,pure,6.0,1312
ButtonBox,,🚫,,3.0,1313
RegionDistance,Shortest distance from a point to a region (Point/Line/Disk/Ball/Circle/Sphere/Rectangle/Triangle/Polygon),✅,pure,10.0,1314
FirstPosition,First position Position reports for a pattern; the head of an expression sits at position {0},✅,pure,10.0,1317
FourierSeries,,🚫,,7.0,1317
Inactivate,Wraps every head in an expression with Inactive so it is held unevaluated,✅,pure,10.0,1317
RealAbs,Returns the absolute value assuming real input,✅,pure,11.1,1318
Deploy,Deploy display wrapper (stays symbolic in script mode),✅,unevaluated,6.0,1320
RegionMeasure,Measure of a region's intrinsic dimension (length/area/volume),✅,pure,2.0,1320
HistogramList,Returns bin edges and counts for histogram data,✅,pure,8.0,1322
WeibullDistribution,Weibull probability distribution,✅,pure,6.0,1322
Front,,🚫,,6.0,1324
GeoDisk,Filled geodesic disk primitive for GeoGraphics,✅,pure,10.0,1324
Orderless,Attribute for commutative functions,✅,pure,1.0,1325
JuliaSetPlot,,🚫,,10.0,1326
ListStepPlot,Plots data as a step function,✅,pure,10.2,1327
Larger,Font size directive for making text larger,✅,none,6.0,1328
AngleBracket,Symbolic representation of angle brackets,✅,,3.0,1329
GeoPath,Geographic path primitive for GeoGraphics,✅,pure,10.0,1330
MixtureDistribution,Mixture of component distributions with given weights; Mean Variance PDF and CDF combine the components,✅,pure,8.0,1331
RemoveBackground,,🚫,,10.0,1332
Hash,Hash of a string or of a ByteArray's bytes using MD2/MD4/MD5/SHA/SHA224/SHA256/SHA384/SHA512/SHA3-224/SHA3-256/SHA3-384/SHA3-512/Keccak256/RIPEMD160/RIPEMD160SHA256/CRC32/Adler32,✅,pure,1.0,1333
DeleteSmallComponents,Zero out label-matrix components with few pixels,✅,pure,8.0,1334
DeleteMissing,Delete Missing elements from a list or pairs with a missing value from an association,✅,pure,10.0,1338
GalaxyData,,🚫,,10.0,1338
PutAppend,Append expressions to a file,✅,effectful,1.0,1338
ZetaZero,,✅,,6.0,1338
Echo,Prints and returns an expression,✅,effectful,10.3,1339
ConstellationData,,🚫,,10.0,1342
Directory,Current working directory,✅,effectful,2.0,1342
Hypergeometric1F1Regularized,Regularized confluent hypergeometric function 1F1(a b z)/Gamma(b),✅,pure,3.0,1342
DistributionFitTest,,🚫,,8.0,1343
DiskMatrix,Gives the disk (L2-ball) structuring element for a scalar radius or list of radii (n-D),✅,pure,7.0,1345
ExtentSize,,🚫,,8.0,1345
CoshIntegral,Hyperbolic cosine integral Chi(z),✅,pure,3.0,1347
SampleRate,Option specifying the number of samples per second in a sound or audio object,✅,none,2.0,1347
LegendLayout,,🚫,,9.0,1348
CentralMoment,Computes the k-th central moment of a list distribution or (column-wise) matrix,✅,pure,6.0,1349
FaceGrids,Option for Graphics3D specifying grid lines on bounding box faces,✅,pure,2.0,1351
GeoDistance,Geodesic distance between two geo positions as a Quantity,✅,pure,7.0,1351
PolynomialRemainder,Remainder of polynomial division,✅,pure,1.0,1353
Signature,Sign of the permutation that canonically sorts the parts of any non-atomic expression (0 if any are equal),✅,pure,1.0,1353
CForm,Format expression as C code with C operator spellings and Complex(re im) numbers,✅,pure,1.0,1354
Permute,Permute the elements of any expression by a permutation,✅,pure,8.0,1355
Padding,Option specifying padding scheme for array and image operations,✅,pure,7.0,1357
UnitVector,Generate a unit vector with a 1 at a specified position,✅,pure,6.0,1357
DeleteFile,Delete a file from the filesystem,✅,effectful,2.0,1359
StruveH,Struve function H_n(z); elementary closed form at order +-1/2 and +-3/2; numeric for inexact args,✅,pure,4.0,1360
EllipticPi,Elliptic integral of the third kind,✅,pure,1.0,1362
LibraryFunctionLoad,Load a compiled library function for use in the Wolfram Language,🚫,,8.0,1362
Hypergeometric0F1Regularized,Regularized confluent hypergeometric limit function,✅,pure,3.0,1363
Cells,Represent cells in a notebook,✅,pure,9.0,1364
PointLegend,Legend showing labeled points for plots,✅,pure,9.0,1365
GraphEmbedding,Compute vertex coordinates for graph layouts using circular embedding,✅,pure,9.0,1367
Run,Runs an external command,✅,effectful,1.0,1367
ThermodynamicData,,🚫,,10.0,1368
PossibleZeroQ,Tests if an expression is possibly zero,✅,pure,6.0,1369
BezierFunction,Evaluate Bezier curves from control points using de Casteljau algorithm,✅,pure,7.0,1371
LegendLabel,Option for specifying legend labels in plots,✅,none,9.0,1371
BesselJZero,Compute zeros of the Bessel function J_n using bisection and Newton method,✅,pure,6.0,1375
DiscretePlot3D,3D surface plot at discrete integer grid points,✅,none,8.0,1375
EllipticThetaPrime,Derivative of Jacobi theta function with respect to z,✅,pure,3.0,1375
MonomialList,Monomials of a polynomial listed in a monomial order (lexicographic by default),✅,pure,7.0,1375
ComplexPlot,Domain coloring visualization of a complex function,✅,pure,12.0,1377
RegionCentroid,Compute the centroid of a geometric region,✅,pure,10.0,1377
APIFunction,Create a web API from a function,🚫,io,10.0,1379
Flat,Attribute for associative functions,✅,pure,1.0,1379
ContinuedFraction,Returns the continued fraction representation; the n-term form truncates or warns (incomp) when fewer terms are available,✅,pure,4.0,1381
Projection,Projection of a vector u onto v optionally using a custom inner product f as Projection[u v f],✅,pure,6.0,1381
AiryBi,Airy function of the second kind Bi(x),✅,pure,2.0,1384
EvaluationCell,Return the cell being evaluated,🚫,io,9.0,1384
SquareWave,Periodic square wave function with period 1,✅,pure,7.0,1384
ImageAssemble,Assembles a grid of images into a single image,✅,pure,7.0,1385
AsymptoticDSolveValue,Asymptotic solutions to differential equations,🚫,pure,11.3,1386
PositiveReals,Domain of positive real numbers,✅,pure,12.0,1388
PredictorMeasurements,Measurements of predictor function performance,🚫,io,10.0,1388
PositiveIntegers,Domain of positive integers,✅,pure,12.0,1391
ParabolicCylinderD,Parabolic cylinder function D_nu(z),✅,pure,6.0,1392
ConvolutionLayer,Neural network convolution layer,🚫,io,11.0,1393
EmitSound,Emit a sound,🚫,io,6.0,1394
SurvivalFunction,Survival function for distributions,✅,pure,8.0,1395
ExpIntegralE,Generalized exponential integral E_n(z); FunctionExpand gives z^(n-1) Gamma[1-n z] and expands that Gamma for an integer or half-integer order,✅,pure,1.0,1397
RootReduce,Reduce an algebraic number to a simplified radical or a minimal-polynomial Root object,✅,pure,3.0,1397
DotDashed,Dot-dashed line style directive,✅,none,6.0,1399
